date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:32	204120/204120	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:29%20GMT	http://www.godaddy.com/domains/search.aspx?ci=8962&checkAvail=1	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/domains/searchc16e.html	(from )
11:58:32	114423/114423	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:30%20GMT	http://www.godaddy.com/gdshop/site_search.asp?ci=9104&pageNum=1	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/gdshop/site_searchd38f.html	(from )
11:58:33	43/43	---M--	200	added ('OK')	image/gif	etag:%2280c2fc55c6b3c21:b17%22	http://img1.wsimg.com/fos/spc/spc_tran.gif	C:/My%20Web%20Sites/Go%20Daddy/img1.wsimg.com/fos/spc/spc_tran.gif	(from )
11:58:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Mar%202011%2014:58:31%20GMT	http://www.godaddy.com/gdshop/site_log_out.asp?ci=9087	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/gdshop/site_log_out.34ccfb.delayed	(from )
11:58:34	194/194	---M--	302	error ('Object%20moved')	text/html	date:Tue,%2001%20Mar%202011%2014:58:32%20GMT	http://www.godaddy.com/gdshop/myportal/domainren.asp?ci=13189	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/gdshop/myportal/domainren.35ef20.delayed	(from )
11:58:34	0/0	---M--	302	error ('')			http://www.godaddy.com/gdshop/myportal/domainren.asp?ci=13189	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/gdshop/myportal/domainren.36ef20.delayed	(from )
11:58:35	110028/110028	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:32%20GMT	http://www.godaddy.com/offers/hot-deals.aspx?ci=13478	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/offers/hot-deals1ceb.html	(from )
11:58:37	204052/204052	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:33%20GMT	http://www.godaddy.com/domains/search.aspx	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/domains/search.html	(from )
11:58:38	204090/204090	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:35%20GMT	http://www.godaddy.com/domains/search.aspx?ci=8969	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/domains/search7f52.html	(from )
11:58:39	151432/151432	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:36%20GMT	http://www.godaddy.com/hosting/web-hosting.aspx	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/hosting/web-hosting.html	(from )
11:58:40	151478/151478	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:37%20GMT	http://www.godaddy.com/hosting/web-hosting.aspx?ci=8971	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/hosting/web-hosting0c2a.html	(from )
11:58:42	125706/125706	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:38%20GMT	http://www.godaddy.com/email/email-hosting.aspx	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/email/email-hosting.html	(from )
11:58:45	125736/125736	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:39%20GMT	http://www.godaddy.com/email/email-hosting.aspx?ci=8973	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/email/email-hosting1f6a.html	(from )
11:58:50	130700/130700	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:43%20GMT	http://www.godaddy.com/hosting/website-builder.aspx	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/hosting/website-builder.html	(from )
11:58:51	130730/130730	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:45%20GMT	http://www.godaddy.com/hosting/website-builder.aspx?ci=8975	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/hosting/website-builder303d.html	(from )
11:58:56	133473/133473	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:48%20GMT	http://www.godaddy.com/search-engine/seo-services.aspx	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/search-engine/seo-services.html	(from )
11:58:58	133506/133506	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:51%20GMT	http://www.godaddy.com/search-engine/seo-services.aspx?ci=44163	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/search-engine/seo-servicesf414.html	(from )
11:59:00	137447/137447	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:55%20GMT	http://www.godaddy.com/ssl/ssl-certificates.aspx	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/ssl/ssl-certificates.html	(from )
11:59:02	137496/137496	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:58:59%20GMT	http://www.godaddy.com/ssl/ssl-certificates.aspx?ci=8979	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/ssl/ssl-certificatese8c3.html	(from )
11:59:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Mar%202011%2014:58:59%20GMT	http://www.godaddy.com/gdshop/wwd_landing.asp	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/gdshop/wwd_landing.44.delayed	(from )
11:59:03	124900/124900	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:59:00%20GMT	http://www.godaddy.com/reseller/domain-reseller.aspx	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/reseller/domain-reseller.html	(from )
11:59:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Mar%202011%2014:59:01%20GMT	http://www.godaddy.com/gdshop/wwd_landing.asp?ci=21918	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/gdshop/wwd_landing.464bce.delayed	(from )
11:59:05	124933/124933	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202011%2014:59:03%20GMT	http://www.godaddy.com/reseller/domain-reseller.aspx?ci=21918	C:/My%20Web%20Sites/Go%20Daddy/www.godaddy.com/reseller/domain-reseller4bce.html	(from )
